År;Befolkning
1951;35838
1952;37136
1953;38191
1954;40441
1955;43029
1956;45466
1957;48172
1958;50776
1959;53400
1960;55425
1961;57573
1962;59749
1963;62334
1964;64360
1965;66695
1966;67971
1967;69617
1968;71066
1969;72887
1970;74655
1971;76580
1972;78780
1973;80400
1974;80894
1975;81509
1976;81492
1977;81047
1978;80813
1979;80292
1980;79819
1981;80385
1982;80816
1983;80908
1984;81295
1985;82918
1986;84724
1987;86541
1988;87773
1989;88594
1990;89221
1991;90579
1992;91692
1993;92748
1994;94098
1995;95548
1996;97034
1997;98298
1998;99590
1999;100773
2000;101494
2001;101340
2002;101497
2003;102529
2004;103313
2005;104690
2006;105928
2007;106932
2008;108144
2009;109700
2010;111213
2011;112789
2012;114489
2013;116677
2014;118588
2015;120685
2016;122348
2017;124008
2018;125454
2019;126841
2020;127731
2021;128233
2022;128982
2023;129874
2024;130921
